type,shm_bufsize,arbiter_bufsize,primes_num,checked,errnum,errgen,time
forward,8,64,40000,142,17,4000,6.01
forward,8,8,40000,30,1,0,6.09
forward,8,8,40000,140,16,4000,6.02
forward,8,8,40000,417,0,0,6.11
forward,8,8,40000,133,17,4000,6.04
forward,8,8,40000,115,0,0,6.05
forward,8,8,40000,131,13,4000,6.02
forward,8,8,40000,140,1,0,6.01
forward,8,8,40000,139,16,4000,6.01
forward,8,8,40000,84,0,0,6.14
forward,8,8,40000,86,7,4000,6.03
forward,8,8,40000,148,0,0,6.02
forward,8,8,40000,137,16,4000,6.08
forward,8,8,40000,105,0,0,6.12
forward,8,8,40000,107,13,4000,6.03
forward,8,8,40000,74,0,0,6.15
forward,8,8,40000,123,10,4000,6.03
forward,8,8,40000,22,0,0,6.11
forward,8,8,40000,141,17,4000,6.01
forward,8,8,40000,104,0,0,6.04
forward,8,8,40000,141,16,4000,6.01
forward,8,8,40000,121,0,0,6.02
forward,8,8,40000,103,12,4000,6.08
